# user,condition,Task category, times task selected, % selection, #times correct on this task, % correct
3.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,3.300000000000000000e+01,1.320000000000000062e-01,1.700000000000000000e+01,5.200000000000000178e-01
3.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.460000000000000000e+02,9.839999999999999858e-01,2.270000000000000000e+02,9.200000000000000400e-01
3.600000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000033e-02,2.000000000000000000e+00,5.000000000000000000e-01
3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,1.079999999999999988e-01,2.400000000000000000e+01,8.900000000000000133e-01
3.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.400000000000000000e+01,9.600000000000000200e-02,2.200000000000000000e+01,9.200000000000000400e-01
3.700000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,8.100000000000000000e+01,3.240000000000000102e-01,5.200000000000000000e+01,6.400000000000000133e-01
3.700000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.180000000000000000e+02,4.719999999999999751e-01,6.400000000000000000e+01,5.400000000000000355e-01
3.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+02,1.000000000000000000e+00,2.410000000000000000e+02,9.599999999999999645e-01
3.800000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,3.400000000000000000e+01,1.354581673306772815e-01,2.400000000000000000e+01,7.099999999999999645e-01
3.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,2.170000000000000000e+02,8.645418326693227185e-01,1.080000000000000000e+02,5.000000000000000000e-01
4.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,3.585657370517928572e-02,7.000000000000000000e+00,7.800000000000000266e-01
4.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,1.274900398406374480e-01,2.000000000000000000e+01,6.300000000000000044e-01
4.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,9.300000000000000000e+01,3.705179282868525936e-01,5.900000000000000000e+01,6.300000000000000044e-01
4.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.170000000000000000e+02,4.661354581673306519e-01,6.500000000000000000e+01,5.600000000000000533e-01
